User_Id,Location,Age,Budget,Preferensi
1,"Semarang, Jawa Tengah",20,89490,Budaya
2,"Bekasi, Jawa Barat",21,15077,Bahari
3,"Cirebon, Jawa Barat",23,2369,Pusat Perbelanjaan
4,"Bekasi, Jawa Barat",21,256,Budaya
5,"Lampung, Sumatera Selatan",20,9088,Tempat Ibadah
6,"Jakarta Utara, DKI Jakarta",18,9564,Budaya
7,"Jakarta Selatan, DKI Jakarta",39,9808,Budaya
8,"Bandung, Jawa Barat",40,7472,Tempat Ibadah
9,"Surabaya, Jawa Timur",38,56212,Bahari
10,"Bekasi, Jawa Barat",39,51392,Bahari
11,"Yogyakarta, DIY",20,6334,Taman Hiburan
12,"Bogor, Jawa Barat",37,8130,Budaya
13,"Depok, Jawa Barat",18,5471,Tempat Ibadah
14,"Jakarta Pusat, DKI Jakarta",26,59549,Taman Hiburan
15,"Jakarta Timur, DKI Jakarta",34,46788,Pusat Perbelanjaan
16,"Bekasi, Jawa Barat",40,6270,Taman Hiburan
17,"Semarang, Jawa Tengah",31,8420,Tempat Ibadah
18,"Yogyakarta, DIY",39,362,Tempat Ibadah
19,"Cirebon, Jawa Barat",26,5897,Bahari
20,"Lampung, Sumatera Selatan",30,1235,Pusat Perbelanjaan
21,"Semarang, Jawa Tengah",30,786,Tempat Ibadah
22,"Subang, Jawa Barat",25,24960,Bahari
23,"Jakarta Barat, DKI Jakarta",37,61912,Taman Hiburan
24,"Bekasi, Jawa Barat",36,9869,Cagar Alam
25,"Lampung, Sumatera Selatan",40,27505,Cagar Alam
26,"Palembang, Sumatera Selatan",38,6751,Pusat Perbelanjaan
27,"Bogor, Jawa Barat",22,2875,Taman Hiburan
28,"Sragen, Jawa Tengah",38,4874,Cagar Alam
29,"Ponorogo, Jawa Timur",34,20535,Bahari
30,"Depok, Jawa Barat",30,3860,Pusat Perbelanjaan
31,"Jakarta Selatan, DKI Jakarta",26,8191,Taman Hiburan
32,"Bekasi, Jawa Barat",34,3649,Bahari
33,"Ponorogo, Jawa Timur",24,2356,Cagar Alam
34,"Sragen, Jawa Tengah",31,8618,Bahari
35,"Klaten, Jawa Tengah",24,9253,Budaya
36,"Solo, Jawa Tengah",20,3742,Tempat Ibadah
37,"Tanggerang, Banten",21,24608,Tempat Ibadah
38,"Serang, Banten",26,6691,Tempat Ibadah
39,"Cilacap, Jawa Tengah",32,6064,Taman Hiburan
40,"Semarang, Jawa Tengah",27,3556,Tempat Ibadah
41,"Yogyakarta, DIY",24,71463,Cagar Alam
42,"Kota Gede, DIY",37,15205,Cagar Alam
43,"Cirebon, Jawa Barat",33,12801,Taman Hiburan
44,"Subang, Jawa Barat",21,707,Taman Hiburan
45,"Karawang, Jawa Barat",25,5060,Bahari
46,"Purwakarat, Jawa Barat",38,9589,Pusat Perbelanjaan
47,"Jakarta Utara, DKI Jakarta",31,61037,Budaya
48,"Jakarta Selatan, DKI Jakarta",35,5012,Cagar Alam
49,"Jakarta Pusat, DKI Jakarta",24,315,Cagar Alam
50,"Bekasi, Jawa Barat",19,45572,Taman Hiburan
